p			Desafio Técnico
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	13,85
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	13,85
r	01SB	mmolc.dm-3	20,01
r	01CTC	mmolc.dm-3	33,86
r	01V	%	59,09
r	01M	%	0
r	01KCTC	%	6,90
r	01CACTC	%	34,17
r	01MGCTC	%	18,03
r	01CAMG	%	52,19

f	FAZENDA 00002
a	374593	2025	30_01_2025
r	01MO	g.dm-3	6,38
r	01PHCACl2		5,77
r	01PRES	mg.dm-3	7,86
r	01K	mmolc.dm-3	3,88
r	01CA	mmolc.dm-3	13,16
r	01MG	mmolc.dm-3	7,37
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	14,60
r	01S	mg.dm-3	14,17
r	01H	mmolc.dm-3	14,60
r	01SB	mmolc.dm-3	24,41
r	01CTC	mmolc.dm-3	39,01
r	01V	%	62,57
r	01M	%	0
r	01KCTC	%	9,94
r	01CACTC	%	33,73
r	01MGCTC	%	18,90
r	01CAMG	%	52,63

f	FAZENDA 00003
a	374600	2025	30_01_2025
r	01MO	g.dm-3	11,00
r	01PHCACl2		6,21
r	01PRES	mg.dm-3	4,12
r	01K	mmolc.dm-3	1,24
r	01CA	mmolc.dm-3	17,50
r	01MG	mmolc.dm-3	10,64
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	13,14
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	13,14
r	01SB	mmolc.dm-3	29,38
r	01CTC	mmolc.dm-3	42,52
r	01V	%	69,10
r	01M	%	0
r	01KCTC	%	2,91
r	01CACTC	%	41,16
r	01MGCTC	%	25,03
r	01CAMG	%	66,19

f	FAZENDA 00003
a	374601	2025	30_01_2025
r	01MO	g.dm-3	7,92
r	01PHCACl2		6,17
r	01PRES	mg.dm-3	3,11
r	01K	mmolc.dm-3	0,57
r	01CA	mmolc.dm-3	11,87
r	01MG	mmolc.dm-3	8,52
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	13,85
r	01S	mg.dm-3	6,75
r	01H	mmolc.dm-3	13,85
r	01SB	mmolc.dm-3	20,96
r	01CTC	mmolc.dm-3	34,81
r	01V	%	60,21
r	01M	%	0
r	01KCTC	%	1,64
r	01CACTC	%	34,09
r	01MGCTC	%	24,48
r	01CAMG	%	58,57

f	FAZENDA 00002
a	374604	2025	30_01_2025
r	01MO	g.dm-3	10,61
r	01PHCACl2		5,98
r	01PRES	mg.dm-3	3,40
r	01K	mmolc.dm-3	3,68
r	01CA	mmolc.dm-3	19,95
r	01MG	mmolc.dm-3	12,85
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	14,60
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	14,60
r	01SB	mmolc.dm-3	36,49
r	01CTC	mmolc.dm-3	51,09
r	01V	%	71,42
r	01M	%	0
r	01KCTC	%	7,21
r	01CACTC	%	39,05
r	01MGCTC	%	25,16
r	01CAMG	%	64,21

f	FAZENDA 00002
a	374605	2025	30_01_2025
r	01MO	g.dm-3	6,58
r	01PHCACl2		5,90
r	01PRES	mg.dm-3	3,11
r	01K	mmolc.dm-3	2,09
r	01CA	mmolc.dm-3	15,90
r	01MG	mmolc.dm-3	10,84
r	01AL	mmolc.dm-3	0,56
r	01H+Al	mmolc.dm-3	14,15
r	01S	mg.dm-3	12,57
r	01H	mmolc.dm-3	14,15
r	01SB	mmolc.dm-3	28,83
r	01CTC	mmolc.dm-3	42,98
r	01V	%	67,09
r	01M	%	1,91
r	01KCTC	%	4,86
r	01CACTC	%	37,00
r	01MGCTC	%	25,22
r	01CAMG	%	62,23

f	FAZENDA 00004
a	374608	2025	30_01_2025
r	01MO	g.dm-3	11,58
r	01PHCACl2		6,31
r	01PRES	mg.dm-3	12,33
r	01K	mmolc.dm-3	2,71
r	01CA	mmolc.dm-3	28,18
r	01MG	mmolc.dm-3	12,44
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	14,15
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	14,15
r	01SB	mmolc.dm-3	43,34
r	01CTC	mmolc.dm-3	57,48
r	01V	%	75,39
r	01M	%	0
r	01KCTC	%	4,72
r	01CACTC	%	49,03
r	01MGCTC	%	21,65
r	01CAMG	%	70,67

f	FAZENDA 00004
a	374609	2025	30_01_2025
r	01MO	g.dm-3	8,50
r	01PHCACl2		5,91
r	01PRES	mg.dm-3	8,30
r	01K	mmolc.dm-3	3,02
r	01CA	mmolc.dm-3	34,43
r	01MG	mmolc.dm-3	14,91
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	15,72
r	01S	mg.dm-3	4,94
r	01H	mmolc.dm-3	15,72
r	01SB	mmolc.dm-3	52,37
r	01CTC	mmolc.dm-3	68,09
r	01V	%	76,92
r	01M	%	0
r	01KCTC	%	4,44
r	01CACTC	%	50,57
r	01MGCTC	%	21,91
r	01CAMG	%	72,48

f	FAZENDA 00003
a	374624	2025	30_01_2025
r	01MO	g.dm-3	12,92
r	01PHCACl2		5,60
r	01PRES	mg.dm-3	7,00
r	01K	mmolc.dm-3	1,22
r	01CA	mmolc.dm-3	20,42
r	01MG	mmolc.dm-3	11,52
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	17,28
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	17,28
r	01SB	mmolc.dm-3	33,15
r	01CTC	mmolc.dm-3	50,43
r	01V	%	65,74
r	01M	%	0
r	01KCTC	%	2,41
r	01CACTC	%	40,48
r	01MGCTC	%	22,84
r	01CAMG	%	63,32

f	FAZENDA 00003
a	374625	2025	30_01_2025
r	01MO	g.dm-3	9,46
r	01PHCACl2		5,16
r	01PRES	mg.dm-3	13,62
r	01K	mmolc.dm-3	1,06
r	01CA	mmolc.dm-3	17,77
r	01MG	mmolc.dm-3	10,46
r	01AL	mmolc.dm-3	0,84
r	01H+Al	mmolc.dm-3	22,96
r	01S	mg.dm-3	33,44
r	01H	mmolc.dm-3	22,96
r	01SB	mmolc.dm-3	29,29
r	01CTC	mmolc.dm-3	52,25
r	01V	%	56,05
r	01M	%	2,80
r	01KCTC	%	2,03
r	01CACTC	%	34,01
r	01MGCTC	%	20,01
r	01CAMG	%	54,02

f	FAZENDA 00005
a	374626	2025	30_01_2025
r	01MO	g.dm-3	6,77
r	01PHCACl2		5,21
r	01PRES	mg.dm-3	6,28
r	01K	mmolc.dm-3	2,59
r	01CA	mmolc.dm-3	13,48
r	01MG	mmolc.dm-3	8,19
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	17,65
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	17,65
r	01SB	mmolc.dm-3	24,26
r	01CTC	mmolc.dm-3	41,91
r	01V	%	57,89
r	01M	%	0
r	01KCTC	%	6,18
r	01CACTC	%	32,16
r	01MGCTC	%	19,55
r	01CAMG	%	51,71

f	FAZENDA 00005
a	374627	2025	30_01_2025
r	01MO	g.dm-3	7,92
r	01PHCACl2		5,10
r	01PRES	mg.dm-3	7,14
r	01K	mmolc.dm-3	3,10
r	01CA	mmolc.dm-3	12,99
r	01MG	mmolc.dm-3	7,76
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	18,02
r	01S	mg.dm-3	3,13
r	01H	mmolc.dm-3	18,02
r	01SB	mmolc.dm-3	23,85
r	01CTC	mmolc.dm-3	41,88
r	01V	%	56,96
r	01M	%	0
r	01KCTC	%	7,41
r	01CACTC	%	31,02
r	01MGCTC	%	18,53
r	01CAMG	%	49,55

f	FAZENDA 00006
a	374632	2025	30_01_2025
r	01MO	g.dm-3	16,00
r	01PHCACl2		6,12
r	01PRES	mg.dm-3	12,18
r	01K	mmolc.dm-3	3,92
r	01CA	mmolc.dm-3	23,65
r	01MG	mmolc.dm-3	14,90
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	14,45
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	14,45
r	01SB	mmolc.dm-3	42,46
r	01CTC	mmolc.dm-3	56,91
r	01V	%	74,61
r	01M	%	0
r	01KCTC	%	6,88
r	01CACTC	%	41,55
r	01MGCTC	%	26,18
r	01CAMG	%	67,73

f	FAZENDA 00006
a	374633	2025	30_01_2025
r	01MO	g.dm-3	6,38
r	01PHCACl2		5,65
r	01PRES	mg.dm-3	4,26
r	01K	mmolc.dm-3	4,68
r	01CA	mmolc.dm-3	11,87
r	01MG	mmolc.dm-3	10,28
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	15,88
r	01S	mg.dm-3	6,35
r	01H	mmolc.dm-3	15,88
r	01SB	mmolc.dm-3	26,83
r	01CTC	mmolc.dm-3	42,71
r	01V	%	62,81
r	01M	%	0
r	01KCTC	%	10,96
r	01CACTC	%	27,79
r	01MGCTC	%	24,06
r	01CAMG	%	51,85

f	FAZENDA 00001
a	374640	2025	30_01_2025
r	01MO	g.dm-3	9,08
r	01PHCACl2		6,20
r	01PRES	mg.dm-3	15,64
r	01K	mmolc.dm-3	0,95
r	01CA	mmolc.dm-3	14,82
r	01MG	mmolc.dm-3	6,65
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	12,47
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	12,47
r	01SB	mmolc.dm-3	22,42
r	01CTC	mmolc.dm-3	34,88
r	01V	%	64,26
r	01M	%	0
r	01KCTC	%	2,72
r	01CACTC	%	42,49
r	01MGCTC	%	19,05
r	01CAMG	%	61,54

f	FAZENDA 00001
a	374641	2025	30_01_2025
r	01MO	g.dm-3	6,96
r	01PHCACl2		5,48
r	01PRES	mg.dm-3	4,84
r	01K	mmolc.dm-3	0,91
r	01CA	mmolc.dm-3	13,09
r	01MG	mmolc.dm-3	6,23
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	17,65
r	01S	mg.dm-3	10,96
r	01H	mmolc.dm-3	17,65
r	01SB	mmolc.dm-3	20,23
r	01CTC	mmolc.dm-3	37,88
r	01V	%	53,41
r	01M	%	0
r	01KCTC	%	2,41
r	01CACTC	%	34,55
r	01MGCTC	%	16,44
r	01CAMG	%	51,00

f	FAZENDA 00003
a	374644	2025	30_01_2025
r	01MO	g.dm-3	8,69
r	01PHCACl2		6,38
r	01PRES	mg.dm-3	4,55
r	01K	mmolc.dm-3	0,88
r	01CA	mmolc.dm-3	14,92
r	01MG	mmolc.dm-3	9,58
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	12,73
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	12,73
r	01SB	mmolc.dm-3	25,38
r	01CTC	mmolc.dm-3	38,11
r	01V	%	66,59
r	01M	%	0
r	01KCTC	%	2,31
r	01CACTC	%	39,16
r	01MGCTC	%	25,13
r	01CAMG	%	64,28

f	FAZENDA 00003
a	374645	2025	30_01_2025
r	01MO	g.dm-3	8,31
r	01PHCACl2		6,01
r	01PRES	mg.dm-3	3,25
r	01K	mmolc.dm-3	0,45
r	01CA	mmolc.dm-3	10,99
r	01MG	mmolc.dm-3	8,04
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	14,30
r	01S	mg.dm-3	5,94
r	01H	mmolc.dm-3	14,30
r	01SB	mmolc.dm-3	19,49
r	01CTC	mmolc.dm-3	33,78
r	01V	%	57,68
r	01M	%	0
r	01KCTC	%	1,33
r	01CACTC	%	32,54
r	01MGCTC	%	23,81
r	01CAMG	%	56,35

f	FAZENDA 00001
a	374682	2025	30_01_2025
r	01MO	g.dm-3	6,58
r	01PHCACl2		5,69
r	01PRES	mg.dm-3	5,27
r	01K	mmolc.dm-3	1,07
r	01CA	mmolc.dm-3	15,31
r	01MG	mmolc.dm-3	6,64
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	14,00
r	01S	mg.dm-3	0
r	01H	mmolc.dm-3	14,00
r	01SB	mmolc.dm-3	23,02
r	01CTC	mmolc.dm-3	37,02
r	01V	%	62,19
r	01M	%	0
r	01KCTC	%	2,90
r	01CACTC	%	41,36
r	01MGCTC	%	17,92
r	01CAMG	%	59,29

f	FAZENDA 00001
a	374683	2025	30_01_2025
r	01MO	g.dm-3	7,15
r	01PHCACl2		5,78
r	01PRES	mg.dm-3	4,41
r	01K	mmolc.dm-3	0,95
r	01CA	mmolc.dm-3	11,12
r	01MG	mmolc.dm-3	5,43
r	01AL	mmolc.dm-3	0
r	01H+Al	mmolc.dm-3	13,85
r	01S	mg.dm-3	4,74
r	01H	mmolc.dm-3	13,85
r	01SB	mmolc.dm-3	17,51
r	01CTC	mmolc.dm-3	31,36
r	01V	%	55,83
r	01M	%	0
r	01KCTC	%	3,02
r	01CACTC	%	35,48
r	01MGCTC	%	17,33
r	01CAMG	%	52,81
